[507, 'Car']
[19608, 'Car']
[19510, 'Car']
[19374, 'Car']
[19440, 'Car']
[19323, 'Car']
[19520, 'Car']
[19299, 'Car']
[18959, 'Car']
[19105, 'Car']
[19715, 'Car']
[19422, 'Car']
[19034, 'Car']
[19103, 'Car']
[19552, '?']
[19550, 'Car']
[19674, 'Car']
[19443, 'Car']
[19736, 'Car']
[19652, 'Car']
[19272, 'Car']
[19142, 'Car']
[19584, 'Car']
[19451, 'Car']
[19043, 'Car']
[19095, 'Car']
[18984, 'Motorbike']
[19270, 'Car']
[19669, 'Car']
[19397, 'Car']
[19493, 'Car']
[19590, 'Car']
[19238, 'Car']
[19078, 'Car']
[19573, 'Car']
[18972, '?']



Acabou o video
[6, 330, 6, 0, 9, 9, 7]
Total:  367
pulo:  [12600, 18900]




368
1-3600  FP - FP
1+5400  VN - __
1-15300 FP - VP
1-18900 FP - VP
366
